Rank,Name,Score
1,LSM6,995330336 
2,RPLP2,740744492 
3,TDRD6,699689432 
4,PCBP3,623780393 
5,RPS20,588867676 
6,SRP54,588626752 
7,ZFP36L2,556486858 
8,ZFP36L1,531151146 
9,DDX26B,511251866 
10,HABP4,454913607 
11,ADARB1,451931094 
12,SPATS2L,441839528 
13,RBPMS,421043362 
14,PTRF,418453428 
15,REXO2,382712840 
16,SRPK2,355018976 
17,AFF2,350839392 
18,DZIP1,338632048 
19,CCAR1,337435776 
20,EIF2AK1,333576554 
21,PRIM1,296675332 
22,CELF2,291877870 
23,RNASE6,266480677 
24,SMAD6,251014442 
25,PIWIL4,234069874 
26,SAMD4A,223213796 
27,CSDA,211873670 
28,METTL2A,199976390 
29,SFRS13B,190983460 
30,LARP1B,157322000 
31,RBMS2,135409328 
32,LCMT2,124916434 
33,RBMS3,115892518 
34,DZIP1L,115662970 
35,GSPT2,112043956 
36,ZCCHC5,108890125 
37,IGF2BP2,106991724 
38,PURG,105194390 
39,FBXO17,97444958 
40,HAND2,78456408 
41,ZCCHC24,74169214 
42,RBMS1,64424644 
43,ZFP36,61132621 
44,QKI,52019448 
45,KHDRBS3,44938886 
46,PLAGL1,38858328 
47,HOXA3,34346022 
48,PABPC4L,25364178 
49,MEIS2,23256168 
50,GLI1,22513296 
51,KIAA0427,20346735 
52,HOXA1,19075056 
53,MSC,16209624 
54,GLIS1,15135408 
55,ZNF521,13170480 
56,LARP4,12505356 
57,HIC1,12391620 
58,TWIST2,10105752 
59,NOVA2,9574700 
60,TCF7L1,7318410 
61,ERI2,6144370 
62,SHOX2,4982952 
63,HOXA9,4974912 
64,TDRD10,4416282 
65,ETS2,4106118 
66,EGR1,3655410 
67,HOXA5,3097224 
68,BACH2,2382816 
69,GLI2,1908294 
70,OSR1,1765854 
71,HOXA2,1718682 
72,KLF2,1508520 
73,TCF4,1076856 
74,SOX17,1020750 
75,MAF,695520 
76,EMX2,679356 
77,HOXA4,429384 
78,HOXA7,270504 
79,EXOC1,35310 
80,PRDM8,25140 
81,FLI1,23916 
82,REPS1,7776 
83,GTF3A,7758 
84,PTGER3,5040 
85,SYNE1_2,4608 
86,NLRC5,3399 
87,PARD3,1838 
88,PICALM,1728 
89,EMC8,1497 
90,MTMR9LP_2,1471 
91,BAIAP2,1302 
92,PBRM1_2,1250 
93,KIAA1217_3,986 
94,ARNT_2,554 
95,MTMR9LP_3,516 
96,EHBP1_2,492 
97,MARK3_4,421 
98,VPS39,340 
99,EPB41L1,324 
100,EPB41_5,321 
101,AKAP13,264 
102,ERP29,211 
103,RAI14,188 
104,EXOC7_4,146 
104,FNIP1,146 
106,FGFR1_4,126 
107,CTNND1_6,120 
108,MAP4_1,99 
109,NA_198,98 
110,MPRIP_3,97 
111,CD99L2,96 
112,ADD3,94 
113,GPR56_2,87 
114,KLC1,80 
115,NA_11,79 
116,CTNND1_3,72 
117,MYOF_3,62 
118,DLG1,55 
119,DNM2,54 
119,NA_489,54 
121,NF1_2,50 
121,MAP3K7_2,50 
123,ERBB2IP,49 
124,SEMA4F,47 
125,APP,42 
126,CCDC50,34 
127,NA_297,32 
128,SYTL2_4,30 
129,OSBPL8,29 
130,MBNL1_2,28 
131,SYNE1_1,27 
132,PPP3CB,26 
133,ESYT2,24 
134,NCOR2_1,19 
135,NUMB_1,18 
135,KIAA0226,18 
135,INSR,18 
135,DST_1,18 
135,GIT2_1,18 
140,PAM,17 
141,SEC31A_2,15 
141,STX2,15 
143,WDFY3,14 
144,KIF13A_1,13 
145,PHLDB1_3,12 
146,RABGAP1L_2,11 
147,MARK2,10 
148,ATP6V0B,9 
148,NPHP3,9 
148,MACF1_5,9 
148,CD44_7,9 
148,SYNC,9 
153,CLSTN1_1,8 
153,NDEL1,8 
155,SPTAN1_1,7 
155,LMO7,7 
157,LRRFIP2_2,6 
157,ANXA6,6 
157,MFSD10,6 
157,MAP4K4_2,6 
157,ATP9B,6 
157,SPAG9_1,6 
163,SBF1,5 
164,PBX1_2,4 
164,ZRANB2,4 
164,NA_524,4 
164,MBNL2,4 
168,TTC7A_1,3 
168,PLOD2,3 
170,ATP5C1,2 
170,FGFR1OP2,2 
170,KIAA0528,2 
170,TCF12_2,2 
174,PRRC2C,1 
174,ZFYVE21,1 
174,TRA2B,1 
174,TACC2,1 
174,MYO5A_1,1 
